latitude,longitude,brightness,confidence,frp,daynight,acq_date
-25.9577,150.869,367.3,100,338.9,D,2019-09-06
-17.1811,125.2393,307.5,72,6.1,N,2019-09-06
-34.5713,141.4369,361.2,100,802.6,D,2019-09-02
-29.7054,152.5106,315.6,48,39.8,D,2019-09-28
-29.0565,152.2871,356.4,98,85.6,D,2019-09-11
-30.8316,152.0674,324.2,72,24.2,D,2019-09-14
-29.0796,152.6611,310.4,70,42.5,D,2019-08-11
-30.9424,152.7956,317.5,78,16.0,D,2019-08-11
-14.499,126.7288,357.3,100,116.5,N,2019-09-05
-30.7667,152.0872,321.9,100,29.0,N,2019-09-16
-19.375,146.4918,308.0,70,14.5,N,2019-09-06
-19.3495,146.9066,321.6,45,19.6,D,2019-08-04
-31.7505,151.911,365.2,92,118.6,D,2019-09-07
-29.4338,150.5364,325.9,83,21.6,D,2019-08-02
-25.9153,150.8522,344.6,92,93.2,D,2019-09-06
-21.8094,134.6946,369.9,100,207.6,D,2019-09-20
-27.9614,153.2923,322.7,79,17.3,D,2019-08-10
-21.8025,134.6698,352.4,95,100.6,D,2019-09-20
-22.5322,150.3304,304.8,19,7.4,N,2019-08-21
-20.7364,139.4714,317.0,50,7.0,D,2019-08-26
-17.1008,125.2,324.9,47,11.2,D,2019-09-10
-32.2083,146.7621,315.7,69,10.9,D,2019-08-30
-29.049,152.51,361.2,100,86.6,D,2019-09-09
-29.9382,153.0249,307.9,45,9.3,D,2019-08-12
-14.4815,126.7268,335.2,79,48.9,D,2019-09-07
-27.6541,149.8925,347.9,94,56.1,D,2019-08-18
-29.7308,152.4475,329.8,83,29.5,N,2019-09-06
-29.8503,147.4407,320.9,74,22.3,D,2019-08-28
-16.1548,126.1139,326.8,46,68.8,D,2019-08-07
-25.9144,150.8081,413.1,100,858.0,D,2019-09-06
-28.0494,153.1423,326.4,74,34.1,D,2019-09-06
-15.0608,129.9,305.8,40,24.7,N,2019-08-12
-30.0551,152.3842,325.4,41,34.2,D,2019-09-14
-15.0024,129.7577,316.6,87,15.2,N,2019-08-13
-14.3447,129.9042,323.8,72,13.6,D,2019-08-04
-14.0662,129.8866,346.3,91,45.8,D,2019-09-10
-30.0774,152.3753,312.2,27,56.5,D,2019-09-13
-29.9002,152.9753,398.7,100,778.4,N,2019-08-10
-19.5666,143.9794,340.4,65,63.7,D,2019-09-09
-22.5364,150.2686,330.9,80,21.3,D,2019-09-09
-17.0844,125.233,337.0,83,31.0,D,2019-09-10
-14.1909,129.8152,315.5,91,19.7,N,2019-08-29
-26.8158,147.779,312.5,85,13.7,N,2019-09-19
-21.8684,134.6251,377.0,100,248.3,D,2019-09-20
-27.5202,149.0802,316.1,22,12.5,D,2019-08-04
-14.1202,129.8914,378.2,100,129.8,D,2019-09-13
